"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C7, C10, C11, C12, C13, C14, C16, C17, C18, C19, C20, C24";"C_0402_1005Metric";13;"100n";;;
2;"C2";"C_0402_1005Metric";1;"DNF";;;
3;"C3, C4";"C_0402_1005Metric";2;"15p";;;
4;"C5, C6, C21";"C_0402_1005Metric_small_pads";3;"4.7u";;;
5;"C8, C9";"C_0402_1005Metric";2;"4.7u";;;
6;"C15, C22, C23";"C_0805_2012Metric";3;"10u";;;
7;"D1";"LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount";1;"SK6812MINI-E";;;
8;"J1";"JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical";1;"SM03B-SRSS-TB";;;
9;"J2";"Castellated_26_pins_left_side";1;"Conn_01x26_Socket";;;
10;"J3";"Castellated_26_pins";1;"Conn_01x26_Socket";;;
11;"J5";"USB_C_Receptacle_XKB_U262-16XN-4BVC11";1;"USB_C_Receptacle_USB2.0_16P";;;
12;"L1";"L_pol_2016";1;"3.3u";;;
13;"R1, R4";"R_0402_1005Metric";2;"DNF";;;
14;"R2, R3";"R_0402_1005Metric";2;"0";;;
15;"R5, R13";"R_0402_1005Metric";2;"10K";;;
16;"R6, R7, R9";"R_0402_1005Metric";3;"1k";;;
17;"R8";"R_0402_1005Metric";1;"33";;;
18;"R10, R11, R17";"R_0402_1005Metric";3;"27";;;
19;"R12";"R_0402_1005Metric";1;"470";;;
20;"R14, R15";"R_0402_1005Metric";2;"5.1K";;;
21;"R18, R19";"R_0402_1005Metric";2;"50.1K";;;
22;"R20";"R_0402_1005Metric";1;"100K";;;
23;"SW1, SW2";"SW_Push_1P1T_NO_Vertical_Wuerth_434133025816";2;"SW_Push";;;
24;"TP1";"TestPoint_THTPad_D1.0mm_Drill0.5mm";1;"TestPoint";;;
25;"U1";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q128JWSIQ";;;
26;"U2";"SOP-8_3.76x4.96mm_P1.27mm";1;"APS6404L-SQH-SN";;;
27;"U3";"RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias";1;"RP2350_80QFN";;;
28;"U4";"rpi_rmc20452t";1;"RM2";;;
29;"U5";"SOT-23-5";1;"AP2112K-3.3";;;
30;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ABM8-272-T3";;;
